인접산,weight
세석평전,0.028474055
우각산,0.00337952
천종산,0.011221294
매악산,0.001026995
가칠미산,0.006298781
북바위산,0.003702332
잔미산,0.00034662
응머리산,0.00131594
토당산,0.005013369
뇌계뒷산,0.000213083
배머루산,0.00027386
군자산,0.0011107
두류산,0.000337952
관산,0.000293427
상산,0.000440141
복우산,0.000880282
접산,0.00191775
바라산,0.003286321
하일산,0.001065417
와곡산,0.000586854
검각산,0.000142056
절뒤산,0.00211491
응해산,0.030520646
대부산,0.000675904
제황산,0.0014292
안면산,0.0014292
서산,0.001760563
낭산산,0.000521921
치재산,0.00281988
불당산,0.000219877
반지미산,0.000355139
청암산,0.005480167
비용산,0.00026096
마산골산,0.00027386
북암산,0.003847845
구만산,0.007255937
본술산,0.03
신현산,0.000219877
광학산,0.01236631
검마산,0.000440141
금마산,0.006524008
반월산,0.003298153
남군자산,0.002961866
어래산,0.0032277
기양산,0.001026995
광대산,0.000370233
운제산,0.012030516
대지산,0.002464741
호락산,0.001043841
입암산,0.000521921
탕근산,0.000439754
송곡치산,0.00063925
방광산,0.001173709
백이산,0.001099384
왕령산,0.000329815
통방산,0.011438475
작살랑산,0.003392484
삼호산,0.013137152
천왕산,0.000343289
지측산,0.000586854
부모산,0.009626064
보산,0.000146714
은이산,0.00041079
팔암산,0.000219877
봉정산,0.000352485
오족산,0.000293427
달마산,0.01351808
주왕산,0.023034038
노고산,0.000343289
박봉산,0.000440141
신병산,0.001562611
방산,0.000586854
가리왕산,0.004971944
의봉산,0.000219877
돋질산,0.005254861
낙수물산,0.001336898
혈구산,0.003286321
능동산,0.011666667
감방산,0.000675904
면위산,0.003332099
면화산,0.000219877
보래산,0.001562611
지장산,0.000293427
발암산,0.001319261
덕항산,0.004694836
월현산,0.000880282
구암산,0.000440141
월산,0.002467395
진봉산,0.000879507
영암산,0.001099384
조산,0.002494131
오룡산,0.00168976
성현산,0.000659631
장미산,0.000740466
만지산,0.000219877
목우산,0.001207472
보현산,0.004401408
수인산,0.000337952
운남산,0.000733568
불갑산,0.009800608
두봉산,0.000733568
회계산,0.0014292
지봉산,0.000675904
대화실산,0.002343916
천마지맥,0.00143037
고지산,0.000213083
속동산,0.000355139
구성산,0.000521921
배방산,0.005199307
굴봉산,0.002557
내정병산,0.006156552
장안산,0.00782881
멱미산,0.00149611
낙가산,0.007034432
연죽산,0.00299222
각산,0.002418646
분성산,0.005496922
쌍산,0.000598444
조양산,0.000586854
미타산,0.000769569
구나무산,0.000213083
금봉산,0.000343289
보광산,0.000146714
무선산,0.000109938
덕가산,0.004694836
월암산,0.000440141
묵방산,0.004175365
소금산,0.004829888
독뫼산,0.000440141
좌성산,0.007279029
배암산,0.000675904
보련산,0.003332099
망고산,0.000675904
우금산,0.002087683
만인산,0.003466205
자라매산,0.00205395
붕산,0.00034662
소군산,0.000284111
정병산,0.004287599
무봉산,0.000659631
생바위산,0.00013693
활성산,0.004731328
갈지산,0.00013693
동모산,0.014412417
고씨종산,0.015
만세동산,0.015
꼬깔산,0.002494131
대정산,0.000293427
죽엽산,0.001420555
안평산,0.001039861
주작산,0.004731328
운무산,0.000923361
대항산,0.006664198
궁방산,0.002053991
강정동산,0.021666667
돗대산,0.0014292
까치산,0.001945303
용덕산,0.000109938
인내산,0.000440141
사화산,0.000781305
주부산,0.00026096
꺼먼재산,0.000146714
말머리산,0.000586854
성왕산,0.00034662
부정미산,0.005347594
두음산,0.000440141
하계산,0.00041079
알랑산,0.001039861
공주산,0.000521921
연지산,0.000109938
금주산,0.000329815
우재산,0.005892548
오장산,0.000337952
고루포기산,0.002770083
미숭산,0.000219877
솔미산,0.000568222
뱀산,0.000439754
배산,0.004697286
초개산,0.004055424
화림산,0.000293427
선의산,0.000109938
울련산,0.00161385
와우산,0.000171644
석두산,0.000426167
환산,0.004643963
운달산,0.005868545
무릉산,0.000880282
불광산,0.002968338
화왕산,0.009564644
퇴미산,0.00013693
가좌산,0.001649077
봉천산,0.0013693
건봉산,0.000568222
묘막산,0.003702332
고도산,0.000293427
함박등,0.003737907
다부산,0.000213083
음봉산,0.001633639
지령산,0.000693241
새가산,0.000586854
우산,0.000439754
칼산,0.000284111
낭월산,0.00070497
덕우산,0.001704667
용달산,0.000586854
자병산,0.000852333
서룡산,0.005741127
조림산,0.000586854
해망산,0.000880282
똥메산,0.005386983
신산,0.000146714
건등산,0.000213083
우명산,0.000675904
광대수산,0.004442799
은자산,0.001467136
정광산,0.001057455
황령산,0.011456024
천등산,0.002200704
계령산,0.000219877
복음산,0.000782881
무좌골산,0.001760563
국사당산,0.000880282
고초산,0.000440141
뱀째산,0.001065417
유명산,0.004332694
안심산,0.003717472
장군대산,0.000659631
제산,0.002200704
상원산,0.000329815
가성산,0.000586854
연인산,0.004190639
부주산,0.004393376
고동산,0.000549692
문장산,0.001013856
종현산,0.000497194
조항산,0.000329815
삼보산,0.000733568
공성산,0.001013856
장령산,0.003119584
봉미산,0.000675904
도명산,0.011106997
범우산,0.001762425
월각산,0.004393376
쌍령산,0.00013693
당중산,0.002272889
장구목이골,0.002343916
두악산,0.001136444
막기항산,0.002772964
왕대산,0.001733102
치마산,0.001304802
새미산,0.001173709
호랑산,0.000109938
방장산,0.000337952
작대산,0.000329815
말산,0.005685218
교동산,0.000659631
경각산,0.003392484
중봉산,0.000284111
보타산,0.000284111
안양산,0.001013856
오갑산,0.000740466
승마산,0.000329815
양자산,0.000710278
용좌산,0.000299222
사우앙산,0.002961866
월영산,0.003392484
선암산,0.001759015
구명산,0.008333333
첨잠산,0.003131524
용담산,0.00054772
운화산,0.00070497
감은산,0.00026096
명활산,0.000586854
진악산,0.005545927
통고산,0.000586854
토곡산,0.003298153
협산,0.00337952
달반니산,0.000284111
저명산,0.00150623
성지산,0.002198769
감바위산,0.004127967
후산,0.000659631
성령산,0.000879507
불알산,0.00034662
능암덕산,0.000213083
유룡산,0.002467395
반룡산,0.001978892
분당골산,0.000693241
운장산,0.006585789
개산,0.000879507
개명산,0.000400503
백월산,0.001099384
보록산,0.014531936
천불산,0.005057168
불태산,0.007739938
곡산,0.000109938
도음산,0.001907277
반섬산,0.000337952
둔철산,0.000329815
갈마산,0.000659631
갈모봉산,0.000219877
봉명산,0.000769569
괘방산,0.000879507
이구산,0.000329815
안내산,0.001826722
두룽산,0.0011107
천황산,0.002198769
매바위산,0.000549692
치및산,0.00178009
재신산,0.001057455
망골산,0.00054772
노적산,0.000109938
덕어산,0.000142056
노자산,0.00208883
사자바위산,0.005407232
망월산,0.001868953
명봉산,0.000213083
백수리산,0.000109938
용산,0.001907277
험봉산,0.002673797
말동산,0.001336898
석치산,0.002870564
장등산,0.002858399
팔금산,0.004065041
배거른산,0.000568222
명심산,0.002591633
자산,0.003333333
달팽이산,0.00027386
화장산,0.001099384
봉좌산,0.002200704
국지산,0.000142056
갈강산,0.000733568
명막산,0.001547988
반야산,0.001547988
마파산,0.004617414
미모산,0.000293427
함라산,0.003653445
덕곡산,0.00208883
답산,0.000880282
봉암산,0.000293427
북산,0.000549692
석모산,0.000219877
석성산,0.004655621
화개산,0.001319261
달이산,0.005199307
망동산,0.003333333
능천산,0.015559545
능산,0.000586854
것대산,0.019992595
대구청산,0.000439754
팔양산,0.00070497
소탐산,0.00034662
목령산,0.004442799
병암산,0.000586854
범산,0.000337952
여계산,0.00178009
가섬배산,0.001039861
오로산,0.000284111
모리산,0.000659631
성골산,0.0011107
삼발랭산,0.001851166
토함산,0.006015258
사남산,0.000213083
군지산,0.002528584
다랑산,0.011847464
낭산,0.000586854
학미산,0.002339572
땅골산,0.000586854
응달평산,0.00205395
예암산,0.003717472
견두산,0.004175365
샛말산,0.003008021
산막이옛길 소나무동산,0.021103295
팔마산,0.000521921
장정산,0.000337952
천삼산,0.000426167
아박산,0.001759015
덕룡산,0.004731328
청룡오리산,0.00150623
경마산,0.000586854
병방산,0.000355139
부목골산,0.002467395
검산,0.002870564
말등메이산,0.01236631
서하산,0.00027386
연태산,0.000109938
독경산,0.001320423
길상산,0.00178009
망월잔등산,0.000740466
시묘산,0.000515996
죽도산,0.000733568
만불산,0.000440141
화방산,0.000337952
매산,0.00013693
생이동산,0.013333333
정각산,0.001649077
날뫼산,0.000897666
백산,0.000329815
요강바위산,0.002609603
성황당산,0.000659631
화부산,0.000146714
설흘산,0.001539138
용치산,0.000549692
독봉산,0.0014292
부대산,0.000740466
함월산,0.000586854
월음산,0.001108647
백석산,0.000329815
현등산,0.004190639
눌의산,0.001173709
상인대산,0.000440141
한산,0.000213083
계금산,0.000337952
달산,0.00149611
오두산,0.00054772
고개밑산,0.00082158
봉태산,0.004203889
화담산,0.003291442
주금산,0.001491583
왕골산,0.00034662
진산,0.00034662
도련산,0.001851166
노성산,0.001480933
도불산,0.001868953
서림미산,0.000219877
양달산,0.000329815
마치산,0.003041568
대차리산,0.011847464
월간산,0.000109938
춘의산,0.006016043
황석산,0.002198769
서랑말링산,0.000352485
인봉산,0.002094554
쫓비산,0.006083136
거북산,0.000329815
영천산,0.00070497
어룡산,0.000440141
소대방산,0.00168976
방문산,0.004175365
중매산,0.001319261
두문산,0.0014292
침산,0.002692998
갑하산,0.007739938
능안산,0.001762425
도천산,0.000598444
평풍산,0.001039861
구데골산,0.015883745
된불데기산,0.000710278
용구산,0.00070497
정발산,0.000514933
서설미산,0.00013693
두름산,0.000146714
국수산,0.00068465
피래산,0.000852333
조계산,0.023656641
북병산,0.002308707
등촌잔등산,0.00068465
승비산,0.000439754
갑장산,0.002787559
뒷골산,0.000693241
감도산,0.000352485
일광산,0.00886918
하남산,0.002961866
뒷삐알산,0.002748461
용투산,0.002609603
예봉산,0.004748827
모재산,0.003041568
미악산,0.008333333
못산,0.000440141
파평산,0.00219088
시루메산,0.002875531
봉재산,5.72148E-05
댕평산,0.004393376
퇴뫼산,0.000228859
퇴모산,0.004381761
왕모산,0.00161385
적산,0.00140994
미양산,0.000439754
점방산,0.004175365
왕가산,0.001043841
천호산,0.001304802
문봉산,0.000146714
괴이산,7.10278E-05
구슬뫼,0.000142056
오음산,0.000923361
장대산,0.000659631
팔음산,0.000146714
앵산,0.0014292
모후산,0.001351808
가늠산,0.004442799
사리산,0.003423251
궁성산,0.000675904
왜갈동산,0.000497194
석룡산,0.000219877
삼동산,0.000586854
깃대산,0.00034662
박이뫼산,0.002870564
약산,0.001760563
아가산,0.001026995
어둔산,0.000989446
중리뒷산,0.0011107
아기산,0.000146714
용요산,0.001304802
대밭골산,0.000219877
송규산,0.002087683
덕재산,0.001043841
지산,0.000549692
마봉산,0.000879507
천장산,0.00011443
