"정류소번호","정류소명","Y좌표","X좌표","도로명주소","housePop","comPop","billaPop","aptPop","numUniv","numHsch","numMsch","numHosp","bsst_ars_no","sum_ride_pasgr","sum_alight_pasgr","sum_pasgr","numSubw"
8469,"대우APT211동",37.61294023,127.016796,"대한민국 서울특별시 성북구 길음1동 길음로",7085.09,785.75077,455,6287,0,2,1,4,8469,35713,217,35930,0
8470,"외환은행.오렌지마트",37.6113038,127.0091703,"대한민국 서울특별시 성북구 정릉4동 보국문로18길",5970.67,2220.9206,2277,573,0,0,0,7,8470,1287,110,1397,0
8471,"중앙하이츠정문",37.60269737,127.010978,"대한민국 서울특별시 성북구 정릉2동 아리랑로19길",5602.55,1606.28387,514,3053,0,0,0,5,8471,786,128,914,0
8473,"삼선초교",37.58524124,127.0133578,"대한민국 서울특별시 성북구 삼선동 보문로29다길 10",6551.22,2374.89677,757,1957,0,2,1,4,8473,8532,297,8829,0
8474,"한양슈퍼앞",37.58346812,127.0111699,"대한민국 서울특별시 성북구 삼선동 삼선교로16길",7526.84,1932.12129,406,2635,1,1,1,2,8474,2741,86,2827,0
8475,"구민회관201동앞",37.59558793,127.0092873,"대한민국 서울특별시 성북구 북악산로",5055.59,452.16789,252,4342,0,1,1,2,8475,4671,82,4753,0
8477,"돈암지구대.현대아파트",37.59697889,127.0127098,"대한민국 서울특별시 성북구 아리랑로5길",6331.93,1602.44345,570,4234,0,0,0,4,8477,6931,830,7761,0
8478,"선경아파트",37.59437491,127.0344613,"대한민국 서울특별시 성북구 종암동 북악산로29길",3761.76,2729.5505,648,982,0,1,1,5,8478,2071,541,2612,0
8479,"해병대전우회",37.59254985,127.0356654,"대한민국 서울특별시 성북구 종암로",3087.64,2261.3621,576,557,0,1,1,2,8479,3819,213,4032,1
8480,"죽림정사",37.59953144,127.0292269,"대한민국 서울특별시 성북구 종암동",5924.51,1898.69932,487,4152,0,0,0,10,8480,1003,54,1057,0
8482,"나약국",37.61433447,127.0413542,"대한민국 서울특별시 성북구 장위1동 장위로15길",6089.26,1226.03894,2405,293,0,0,1,3,8482,7068,914,7982,0
8483,"동아아파트",37.60815435,127.0474094,"대한민국 서울특별시 성북구 장월로",6501.91,2288.69538,740,1802,0,0,1,6,8483,5272,956,6228,1
8484,"월곡인조잔디구장",37.60866188,127.0394709,"대한민국 서울특별시 성북구 월곡1동",6213.81,1035.34736,186,4665,1,0,1,4,8484,1672,202,1874,0
8485,"대우APT정문.대림APT후문",37.61196514,127.0176159,"대한민국 서울특별시 성북구 길음1동 길음로",7591.11,582.67685,446,6669,0,1,0,5,8485,25566,301,25867,0
8487,"넓은마당",37.61460573,126.9997044,"대한민국 서울특별시 성북구 정릉동 보국문로29길",2580.58,503.09636,221,481,0,0,0,1,8487,1929,5,1934,0
8488,"중앙하이츠후문",37.60341927,127.0094842,"대한민국 서울특별시 성북구 정릉2동 정릉로24길",4436.47,1319.66035,400,2541,0,0,0,3,8488,7,128,135,0
8489,"성신여대정문앞",37.59076583,127.0197375,"대한민국 서울특별시 성북구 보문로30길",6304.12,11635.23004,465,373,1,0,0,12,8489,10420,2347,12767,4
8490,"한성대입구3거리",37.586412,127.010945,"대한민국 서울특별시 성북구 삼선동 삼선교로16길",7561.6,3087.09355,1015,690,0,1,0,7,8490,5677,2605,8282,0
8491,"법화사",37.58458819,127.011084,"대한민국 서울특별시 성북구 삼선동 삼선교로16길",7255.92,2015.42431,497,1637,1,2,1,4,8491,776,56,832,0
8492,"이수아파트.한신휴아파트입구",37.5966165,127.0141174,"대한민국 서울특별시 성북구 아리랑로5길",6755.15,2187.47314,693,4162,0,0,0,8,8492,1367,4560,5927,0
8493,"극동아파트정문",37.5954238,127.034369,"대한민국 서울특별시 성북구 종암동 북악산로29길",4970.45,2955.73344,759,1189,0,1,1,8,8493,429,1133,1562,0
8494,"고려대법과대학입구",37.59135577,127.0330195,"대한민국 서울특별시 성북구 종암동",1860.23,1171.91538,337,389,1,0,1,2,8494,2108,533,2641,1
8495,"삼성래미안2차APT",37.59904844,127.0293309,"대한민국 서울특별시 성북구 종암동 종암로19길",5252.43,1223.4871,489,3471,0,0,0,8,8495,2451,2375,4826,0
8497,"장위1동주민센터",37.61381835,127.0432921,"대한민국 서울특별시 성북구 장위동 장위로",6492.31,1148.61855,2523,57,0,0,1,3,8497,10006,360,10366,0
8498,"빙그레슈퍼",37.60978611,127.0476777,"대한민국 서울특별시 성북구 장월로",7110.36,1984.31162,1211,1467,0,0,1,7,8498,1276,1602,2878,1
8499,"월곡1동노인정",37.60741717,127.0403854,"대한민국 서울특별시 성북구 화랑로13길",5650.91,2179.13516,121,4316,1,0,0,5,8499,100,46,146,0
8500,"새생명교회",37.61096576,127.018131,"대한민국 서울특별시 성북구 길음1동 길음로",7295.31,673.91953,494,6258,0,0,0,6,8500,20001,740,20741,0
8502,"도광사",37.61540949,127.0014669,"대한민국 서울특별시 성북구 정릉동 보국문로29길",3789.92,719.98978,502,1125,0,0,0,3,8502,673,6,679,0
8503,"정수초교",37.60425914,127.0087368,"대한민국 서울특별시 성북구 정릉2동 정릉로24길",4196.42,1231.07183,452,2102,0,0,0,3,8503,4,425,429,0
8504,"홈마트",37.58927537,127.0200666,"대한민국 서울특별시 성북구 보문로30가길",7096.46,8137.28631,546,502,1,1,0,6,8504,5265,5529,10794,0
8505,"성신여대입구역",37.59350747,127.0162096,"대한민국 서울특별시 성북구 아리랑로",5552.86,7466.40378,522,1256,0,0,0,17,8505,1660,47492,49152,4
